Date,Type,Team,Goalkeeper,MIN,GA,SV,CS,PCH,TCH,DS,SS,ACIB,ACOB,OG
45920,Regular,Vancouver Rise FC,Morgan McAslan,90,3,2,0,0,22,0,0,5,3,0
45920,Regular,Ottawa Rapid FC,Melissa Dagenais,90,0,8,1,2,67,2,0,10,9,0
45921,Regular,AFC Toronto,Sierra Deolinda Cota-Yarde,90,1,2,0,0,23,0,0,1,4,0
45921,Regular,Halifax Tides FC,Anika Tóth,90,1,3,0,0,36,0,0,8,3,0
45926,Regular,Ottawa Rapid FC,Melissa Dagenais,90,1,4,0,0,33,0,0,13,3,0
45926,Regular,AFC Toronto,Sierra Deolinda Cota-Yarde,90,0,4,1,0,40,1,1,2,6,0
45927,Regular,Montreal Roses FC,Anna Karpenko,90,2,3,0,0,54,0,0,3,5,0
45927,Regular,Calgary Wild FC,Stephanie Bukovec,90,0,6,1,0,49,1,1,9,5,0
45927,Regular,Halifax Tides FC,Anika Tóth,90,1,10,0,0,54,0,0,11,11,0
45927,Regular,Vancouver Rise FC,Morgan McAslan,90,1,1,0,0,32,0,0,3,1,0
45932,Regular,Halifax Tides FC,Anika Tóth,90,2,3,0,0,50,1,0,5,6,0
45932,Regular,Montreal Roses FC,Anna Karpenko,90,2,5,0,1,47,0,0,12,9,0
45934,Regular,Calgary Wild FC,Stephanie Bukovec,90,2,1,0,0,44,0,0,6,2,0
45934,Regular,AFC Toronto,Danielle Krzyzaniak,90,1,4,0,2,42,0,0,3,12,0
45938,Regular,Ottawa Rapid FC,Melissa Dagenais,90,2,8,0,1,43,0,3,13,3,0
45938,Regular,Vancouver Rise FC,Morgan McAslan,90,0,2,1,0,40,0,0,11,5,0
